5/12/2024,R6_1,0.59,0.21,0.02,31,Local Data,235,Local Data,0.2,22,24,91,21,80,64,45,49,2024-05-12T18:25:00Z,2024-05-12T06:40:00Z,0,0,0.47,1013,12,0.11,1,43,0,12.3,SSE,2,148,3,0,Remote Sensed Data
5/13/2024,R6_1,0.63,0.16,0.02,29,Local Data,264,Local Data,0.21,24,27,83,16,76,62,46,52,2024-05-13T14:10:00Z,2024-05-13T06:00:00Z,0,1,0.48,1012,11,0.14,0,42,0,11.5,SSE,2,167,4,0,Remote Sensed Data
5/14/2024,R6_1,0.66,0.16,0.02,27,Local Data,291,Local Data,0.22,36,36,93,18,70,58,48,49,2024-05-14T17:30:00Z,2024-05-14T06:55:00Z,0,0,0.48,1018,7,0.15,4,45,0,10.1,ESE,1,123,2,0,Remote Sensed Data
5/15/2024,R6_1,0.72,0.17,0.03,26,Local Data,317,Local Data,0.25,29,29,94,19,74,59,41,47,2024-05-15T17:20:00Z,2024-05-15T06:20:00Z,0,0,0.48,1018,9,0.19,4,42,0,11.5,SSE,2,161,3,0,Remote Sensed Data
5/16/2024,R6_1,0.74,0.19,0.04,32,Local Data,349,Local Data,0.25,28,29,70,19,75,65,54,45,2024-05-16T15:20:00Z,2024-05-16T00:15:00Z,0,2,0.49,1008,12,0.2,0,41,0,12.3,SSW,3,196,5,1,Remote Sensed Data
5/17/2024,R6_1,0.79,0.07,0.01,19,Local Data,368,Local Data,0.29,41,44,79,9,60,49,41,44,2024-05-17T01:20:00Z,2024-05-17T22:45:00Z,0.1,6,0.57,1011,5,0.25,0,35,0,6.4,SW,2,218,4,1,Remote Sensed Data
5/18/2024,R6_1,0.81,0.1,0.02,13,Local Data,381,Local Data,0.29,39,42,94,13,56,46,34,38,2024-05-18T12:20:00Z,2024-05-18T05:25:00Z,0,0,0.57,1018,4,0.25,3,34,0,10.7,SSE,2,156,3,0,Remote Sensed Data
5/19/2024,R6_1,0.87,0.12,0.03,11,Local Data,392,Local Data,0.3,55,55,95,18,53,42,30,41,2024-05-19T17:20:00Z,2024-05-19T03:45:00Z,0,2,0.59,1021,2,0.27,10,35,0,9.5,SE,1,125,3,0,Remote Sensed Data
5/20/2024,R6_1,0.85,0.13,0.03,16,Local Data,408,Local Data,0.29,43,45,93,18,58,47,38,41,2024-05-20T14:00:00Z,2024-05-20T05:05:00Z,0,1,0.59,1022,3,0.26,7,38,0,9.9,SE,1,145,2,0,Remote Sensed Data
5/21/2024,R6_1,0.76,0.13,0.01,10,Local Data,18,Local Data,0.26,32,32,83,16,61,51,42,43,2024-05-21T18:55:00Z,2024-05-21T06:00:00Z,0,0,0,1015,6,0.2,0,37,0,11.2,S,2,173,3,1,Remote Sensed Data
5/22/2024,R6_1,1.01,0.07,0.02,7,Local Data,26,Local Data,0.34,71,71,95,11,52,48,44,47,2024-05-22T16:05:00Z,2024-05-22T05:45:00Z,0,5,0.03,1010,2,0.32,9,43,0,11.2,SSW,1,197,2,0,Remote Sensed Data
5/23/2024,R6_1,0.96,0.14,0.05,4,Local Data,29,Local Data,0.32,33,36,90,20,63,49,37,41,2024-05-23T14:15:00Z,2024-05-23T06:30:00Z,0,0,0.03,1014,5,0.3,1,37,,7.8,WSW,1,255,3,0,Remote Sensed Data
5/22/2024,R6_1,1.01,0.07,0.02,7,Local Data,26,Local Data,0.34,71,71,95,11,52,48,44,47,2024-05-22T16:05:00Z,2024-05-22T05:45:00Z,0,5,0.03,1010,2,0.32,9,43,0,11.2,SSW,1,197,2,0,Remote Sensed Data
5/23/2024,R6_1,0.96,0.18,0.06,11,Local Data,37,Local Data,0.32,33,36,90,24,63,50,37,45,2024-05-23T14:15:00Z,2024-05-23T06:30:00Z,0.3,6,0.32,1015,4,0.3,5,39,0,11.6,SW,1,225,3,0,Remote Sensed Data
5/24/2024,R6_1,1.17,0.09,0.03,9,Local Data,46,Local Data,0.39,65,67,91,13,56,47,43,47,2024-05-24T15:30:00Z,2024-05-24T07:45:00Z,0.5,13,0.77,1012,2,0.4,16,43,0,7.5,SE,2,138,3,1,Remote Sensed Data
5/25/2024,R6_1,1.32,0.1,0.04,8,Local Data,53,Local Data,0.43,56,76,97,15,55,48,42,49,2024-05-25T15:45:00Z,2024-05-25T02:05:00Z,0.1,3,0.91,1009,2,0.46,12,43,0,8.4,S,2,170,4,0,Remote Sensed Data
5/26/2024,R6_1,1.33,0.14,0.06,11,Local Data,64,Local Data,0.43,40,42,83,17,60,51,44,43,2024-05-26T18:35:00Z,2024-05-26T06:25:00Z,0,0,0.91,1016,5,0.46,0,37,0,11,SSW,2,211,3,0,Remote Sensed Data
5/27/2024,R6_1,1.37,0.22,0.1,16,Local Data,81,Local Data,0.44,37,39,88,27,71,57,44,48,2024-05-27T16:55:00Z,2024-05-27T06:00:00Z,0,0,0.91,1021,7,0.47,0,43,0,12.2,SE,1,140,2,0,Remote Sensed Data
5/28/2024,R6_1,1.59,0.21,0.1,20,Local Data,100,Local Data,0.49,32,36,94,24,79,60,42,55,2024-05-28T17:15:00Z,2024-05-28T06:20:00Z,0.1,4,1.04,1015,7,0.54,8,47,0,12.7,SE,1,145,2,0,Remote Sensed Data
5/29/2024,R6_1,1.69,0.18,0.1,9,Local Data,109,Local Data,0.52,33,36,86,24,59,54,42,54,2024-05-29T14:10:00Z,2024-05-29T23:50:00Z,0.1,4,1.09,1017,6,0.59,4,38,0,11.7,SSW,3,213,5,1,Remote Sensed Data
5/30/2024,R6_1,1.69,0.12,0.07,11,Local Data,120,Local Data,0.53,29,55,86,14,62,51,42,46,2024-05-30T12:15:00Z,2024-05-30T00:45:00Z,0,0,1.09,1023,6,0.6,0,36,0,10.8,SW,2,218,3,0,Remote Sensed Data
5/31/2024,R6_1,1.78,0.22,0.13,13,Local Data,133,Local Data,0.55,28,29,94,29,66,52,33,40,2024-05-31T17:35:00Z,2024-05-31T06:05:00Z,0,0,1.09,1020,7,0.63,3,34,0,13.3,SSW,1,195,3,0,Remote Sensed Data
6/1/2024,R6_1,1.8,0.16,0.1,14,Local Data,147,Local Data,0.56,33,34,91,19,68,54,37,47,2024-06-01T15:50:00Z,2024-06-01T05:00:00Z,0,0,1.09,1013,7,0.64,3,39,0,10.8,SSE,1,167,3,0,Remote Sensed Data
6/2/2024,R6_1,2.05,0.08,0.05,12,Local Data,159,Local Data,0.6,59,62,90,10,62,53,44,52,2024-06-02T14:45:00Z,2024-06-02T02:30:00Z,0.1,2,1.14,1010,3,0.71,7,47,0,7.8,SSE,1,158,2,0,Remote Sensed Data
6/3/2024,R6_1,2.08,0.08,0.06,10,Local Data,169,Local Data,0.62,55,73,94,11,58,52,44,52,2024-06-03T15:15:00Z,2024-06-03T23:55:00Z,0.3,9,1.4,1003,2,0.73,13,47,0,8.2,S,2,183,4,1,Remote Sensed Data
6/4/2024,R6_1,2.08,0.06,0.04,9,Local Data,178,Local Data,0.62,67,74,89,7,58,50,43,51,2024-06-04T19:40:00Z,2024-06-04T05:10:00Z,0,1,1.42,1012,3,0.73,3,44,0,6.4,S,2,187,3,1,Remote Sensed Data
6/5/2024,R6_1,2.03,0.24,0.18,17,Local Data,195,Local Data,0.61,31,33,73,30,69,58,48,46,2024-06-05T18:25:00Z,2024-06-05T05:45:00Z,0,0,1.42,1017,9,0.72,0,40,0,12.1,WSW,2,247,4,0,Remote Sensed Data
6/6/2024,R6_1,1.99,0.26,0.18,18,Local Data,213,Local Data,0.61,29,39,94,31,76,59,38,52,2024-06-06T20:15:00Z,2024-06-06T05:15:00Z,0,0,1.42,1018,10,0.71,5,42,0,13.5,SSE,1,162,3,0,Remote Sensed Data
6/7/2024,R6_1,1.97,0.27,0.19,22,Local Data,235,Local Data,0.6,26,29,94,31,82,64,44,50,2024-06-07T16:30:00Z,2024-06-07T06:10:00Z,0,0,1.42,1012,12,0.7,2,45,0,13.5,S,1,170,2,0,Remote Sensed Data
6/8/2024,R6_1,1.99,0.27,0.19,20,Local Data,254,Local Data,0.6,25,31,92,30,80,62,40,53,2024-06-08T19:40:00Z,2024-06-08T05:20:00Z,0,0,1.42,1013,12,0.69,1,43,0,13.1,SSE,1,147,3,0,Remote Sensed Data
6/9/2024,R6_1,1.97,0.2,0.14,19,Local Data,273,Local Data,0.6,32,36,85,23,76,61,44,58,2024-06-09T16:45:00Z,2024-06-09T05:40:00Z,0,0,1.42,1015,9,0.7,0,45,0,12.5,SE,1,134,3,0,Remote Sensed Data
6/10/2024,R6_1,2.25,0.21,0.15,23,Local Data,297,Local Data,0.64,37,37,92,23,76,65,53,55,2024-06-10T16:05:00Z,2024-06-10T05:30:00Z,0.1,3,0.47,1013,9,0.77,3,51,0,12.3,SSW,2,192,4,0,Remote Sensed Data
6/11/2024,R6_1,2.24,0.25,0.19,24,Local Data,320,Local Data,0.64,25,29,86,27,80,65,49,52,2024-06-11T16:55:00Z,2024-06-11T04:15:00Z,0,0,0.47,1011,11,0.76,0,46,0,13.3,S,2,170,5,0,Remote Sensed Data
